"Campaign name","Ad name",Reach,Impressions,Views,"Post engagements",Currency,"Amount spent (THB)","Reporting starts","Reporting ends"
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","มาแล้วๆ โปรรับหน้าร้อน กับช็อปสนุก สุขx2",42036,190709,191509,176033,THB,16520.28,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",727103,1329157,1329883,1223,THB,11319.25,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",286016,1054827,1056003,1035,THB,8273.21,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",294631,810512,811740,3048,THB,6977.04,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026",ใกล้สงกรานต์แล้วมีของขวัญให้คนที่คุณรักหรือยัง,22947,48132,48400,42625,THB,3764.58,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","motion สงกรานต์นี้ ช้อปสนุก สุข𝘅𝟮",19760,37632,37970,32639,THB,3051.06,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",95385,230967,231267,432,THB,1977.55,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",44399,173802,173837,1022,THB,1750.86,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",166114,215602,215595,560,THB,1725.47,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",190773,229749,229877,267,THB,1661.53,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",91195,169242,169634,1386,THB,1639.51,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",78569,167190,167436,454,THB,1634.91,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","สงกรานต์นี้ ช็อปสนุก สุขx2 ลดแรงสูงสุด 65% | 20 Mar 26",11976,20543,20684,18322,THB,1604.08,2026-04-01,2026-04-30
