"Campaign name","Ad name",Reach,Impressions,Views,"Post engagements",Currency,"Amount spent (THB)","Reporting starts","Reporting ends"
"2104 | Marcom | Mother Days  | Awareness","วันแม่ปีนี้ มอบสิ่งล้ำค่า แทนคำว่ารัก",387839,431231,432418,588,THB,3927.88,2026-07-01,2026-07-31
"2104 | Marcom | Disney Princess  | Video Content","VDO - Princess Collections Set",29964,33885,35505,24404,THB,1449.83,2026-07-01,2026-07-31
"2104 | Marcom | Disney Princess  | Awareness","AW - Princess Collections Set",138846,142448,142616,79,THB,1129.28,2026-07-01,2026-07-31
"2104 | Marcom | Mother Days  | Awareness","วันแม่ปีนี้ มอบสิ่งล้ำค่า แทนคำว่ารัก",87531,102021,102110,177,THB,1066.37,2026-07-01,2026-07-31
"2104 | Marcom | Disney Princess  | Awareness","AW - เพราะเจ้าหญิงในดวงใจ_คู่ควรกับการเก็บสะสม",62362,62363,62456,62,THB,497.29,2026-07-01,2026-07-31
"2104 | Marcom | Mother Days  | Awareness","วันแม่ปีนี้ มอบสิ่งล้ำค่า แทนคำว่ารัก",16732,18563,18581,38,THB,169.37,2026-07-01,2026-07-31
"2104 | Marcom | Mother Days  | Video Content","วันแม่ปีนี้ AURORA มีความพิเศษมาฝาก",13335,13348,13421,1367,THB,136.16,2026-07-01,2026-07-31
"2104 | Marcom | Disney Princess  | Video Content","VDO - ซองจุ่ม Disney Princess",5803,6372,7331,2711,THB,124.5,2026-07-01,2026-07-31
"2104 | Marcom | Mother Days  | Video Content","วันแม่ปีนี้ AURORA มีความพิเศษมาฝาก",13212,13402,13351,758,THB,118.95,2026-07-01,2026-07-31
"2104 | Marcom | Mother Days  | Video Content","วันแม่ปีนี้ AURORA มีความพิเศษมาฝาก",1987,1987,1982,223,THB,16.72,2026-07-01,2026-07-31
"2104 | Marcom | Disney Princess  | Video Content","VDO - Princess Collections Set",9,15,15,13,THB,0.5,2026-07-01,2026-07-31
