"Campaign name","Ad name",Reach,Impressions,Views,"Post engagements",Currency,"Amount spent (THB)","Reporting starts","Reporting ends"
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","สงกรานต์นี้ ช็อปสนุก สุขx2 ลดแรงสูงสุด 65% | 20 Mar 26",37375,64762,64719,57587,THB,5931.75,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",249313,284022,284316,559,THB,2944.63,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",234091,265503,265269,1821,THB,2823.08,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",166947,221433,221602,194,THB,2523.61,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",210580,229422,229468,502,THB,2398.45,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",184617,212398,212585,224,THB,2348.16,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",175604,193662,193757,200,THB,2010.92,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",151298,179566,179380,646,THB,1973.72,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",137417,167798,167897,224,THB,1916.46,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",124656,141240,141108,709,THB,1532.35,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",125413,131660,131685,371,THB,1371.84,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026",ใกล้สงกรานต์แล้วมีของขวัญให้คนที่คุณรักหรือยัง,7719,13769,13746,12458,THB,1353.49,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",103886,120941,120877,689,THB,1329.65,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",103183,111702,111828,171,THB,1159.61,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","มาแล้วๆ โปรรับหน้าร้อน กับช็อปสนุก สุขx2",10281,13042,13336,10733,THB,1051.56,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",87679,97312,97413,215,THB,1017.98,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026",ใกล้สงกรานต์แล้วมีของขวัญให้คนที่คุณรักหรือยัง,9883,11625,11728,9774,THB,957.57,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",67215,77340,77393,103,THB,872.8,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",71152,75600,75543,363,THB,814.23,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",64508,67117,67168,154,THB,729.16,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",59668,62336,62367,119,THB,654.95,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",52086,53145,53177,42,THB,573.02,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","motion สงกรานต์นี้ ช้อปสนุก สุข𝘅𝟮",9051,9051,9127,6726,THB,485.46,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",38815,39089,39101,39,THB,404.71,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","มาแล้วๆ โปรรับหน้าร้อน กับช็อปสนุก สุขx2",7719,7835,8152,5378,THB,389.1,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",29521,30852,30896,36,THB,368.14,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","สงกรานต์นี้ ช็อปสนุก สุขx2 ลดแรงสูงสุด 65% | 20 Mar 26",2822,3197,3237,2669,THB,265.43,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",15799,16433,16465,19,THB,258.66,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",21137,21628,21649,187,THB,243.24,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",17437,18277,18298,42,THB,242.74,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",16634,18154,18168,59,THB,221.03,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",10181,10661,10680,19,THB,209.84,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",13915,14970,14986,21,THB,158.75,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",7734,8235,8244,4,THB,150.07,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",8545,9001,9021,18,THB,135.76,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",11365,11701,11711,12,THB,129.15,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",9893,10094,10108,18,THB,117.35,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",7388,7875,7892,11,THB,107.49,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",9232,9293,9298,24,THB,97.44,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","motion สงกรานต์นี้ ช้อปสนุก สุข𝘅𝟮",936,1070,1088,897,THB,94.7,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",4461,4579,4580,9,THB,71.64,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",6318,6318,6312,26,THB,68.05,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",4018,4018,4017,12,THB,49.39,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",3635,3670,3676,16,THB,45.09,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",2507,2650,2655,3,THB,36.78,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",3383,3463,3442,76,THB,35.36,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",2319,2454,2459,10,THB,31.49,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",2236,2271,2276,6,THB,29.63,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",2072,2118,2126,3,THB,27.61,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",2351,2351,2363,20,THB,24.88,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",1823,1909,1907,27,THB,22.84,2026-03-01,2026-03-31
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",1782,1879,1858,44,THB,19.68,2026-03-01,2026-03-31
