"Campaign name","Ad name",Gender,Age,Reach,Impressions,Views,"Amount spent (THB)","Post engagements","Reporting starts","Reporting ends"
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",female,35-44,132951,176182,,1632.06471741,154,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",male,45-54,138073,176872,,1396.48414063,88,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",male,35-44,120486,157667,,1228.86084557,74,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",female,45-54,112251,147605,,1191.32234711,102,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",male,25-34,119512,145942,,1145.66417343,56,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",male,55-64,103808,134905,,1039.93840246,74,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",female,55-64,86548,114327,,877.6548938,77,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",male,45-54,96194,115129,,787.93902717,64,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",male,35-44,92073,110396,,749.33103479,63,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",male,25-34,97259,112855,,740.6614856,44,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",male,55-64,73070,87664,,573.11019827,48,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",female,25-34,54080,67774,,532.39870405,51,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",male,65+,50108,65679,,503.13987441,33,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",female,45-54,66687,76586,,479.89504546,54,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",female,55-64,64026,76402,,448.51667713,44,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",female,65+,45270,56217,,429.44282229,37,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",female,35-44,43075,50478,,326.29303276,41,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",male,65+,43184,52949,,320.56333071,51,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",female,25-34,39729,46733,,280.34542204,24,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",female,65+,44351,50432,,280.00543972,54,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",unknown,35-44,592,728,,8.96964121,1,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",unknown,25-34,560,689,,5.10979561,,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",unknown,45-54,455,589,,4.69981201,,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",unknown,25-34,564,672,,4.33977433,1,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",unknown,35-44,415,484,,3.28982893,1,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",unknown,45-54,356,424,,2.85985129,1,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",unknown,55-64,250,333,,2.5398984,,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Lookalike & Retarget","Awareness | Gold Card 250 thb retarget",unknown,65+,162,210,,1.7099316,,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",unknown,55-64,223,275,,1.63991472,,2026-09-01,2026-09-15
"2104 | Marcom | Awareness | Gold Card 250 thb : Interest","Awareness | Gold Card 250 thb",unknown,65+,178,219,,1.20993708,,2026-09-01,2026-09-15
